time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1950-01-01,-1.9,-3.1,-0.4,0.0,0.0,46.0,6.8,,1041.5,408.0
1950-01-02,0.9,-5.0,2.8,0.8,0.0,242.0,6.7,,1029.7,6.0
1950-01-03,4.8,2.8,6.2,0.1,0.0,266.0,8.6,,1021.3,0.0
1950-01-04,4.0,3.4,5.1,3.9,0.0,266.0,9.3,,1019.8,0.0
1950-01-05,4.8,1.6,6.7,1.0,0.0,252.0,4.6,,1018.0,0.0
1950-01-06,5.5,3.7,8.0,0.0,0.0,241.0,9.9,,1020.3,360.0
1950-01-07,4.7,2.0,6.5,0.0,0.0,333.0,2.4,,1027.9,6.0
1950-01-08,1.5,-1.1,6.4,0.0,0.0,355.0,0.9,,1031.3,318.0
1950-01-09,-0.8,-1.8,0.4,0.0,0.0,345.0,1.2,,1028.8,0.0
1950-01-10,1.6,-2.8,3.2,0.3,0.0,351.0,1.7,,1036.4,0.0
1950-01-11,8.6,3.0,10.2,0.1,0.0,290.0,4.6,,1038.9,0.0
1950-01-12,7.5,5.6,10.8,0.0,0.0,307.0,6.3,,1040.8,222.0
1950-01-13,0.4,-1.2,5.6,0.0,0.0,2.0,2.3,,1040.2,0.0
1950-01-14,3.0,-0.4,4.5,0.3,0.0,244.0,3.0,,1037.8,0.0
1950-01-15,5.7,4.3,7.5,0.0,0.0,233.0,9.5,,1033.8,12.0
1950-01-16,4.6,3.2,5.9,8.2,0.0,240.0,7.8,,1020.4,0.0
1950-01-17,2.4,-0.6,5.1,0.0,0.0,333.0,4.0,,1023.8,180.0
1950-01-18,0.4,-1.8,3.2,0.0,0.0,14.0,13.3,,1035.2,30.0
1950-01-19,-5.9,-7.1,-1.6,0.0,0.0,27.0,17.8,,1037.7,258.0
1950-01-20,-4.0,-8.0,-1.9,0.0,0.0,42.0,12.5,,1035.5,282.0
1950-01-21,-4.8,-7.8,0.8,0.0,0.0,26.0,4.2,,1037.8,450.0
1950-01-22,-2.0,-8.4,-0.1,0.0,0.0,47.0,8.1,,1037.9,0.0
1950-01-23,-3.4,-4.8,0.1,0.0,0.0,38.0,18.1,,1036.3,468.0
1950-01-24,-4.3,-6.8,-1.5,0.0,0.0,48.0,16.2,,1031.0,486.0
1950-01-25,-4.0,-6.8,0.3,0.0,0.0,59.0,9.4,,1030.2,408.0
1950-01-26,-1.8,-8.2,1.6,0.0,0.0,1.0,1.3,,1034.1,162.0
1950-01-27,-0.8,-2.3,1.4,0.0,0.0,49.0,8.3,,1032.7,174.0
1950-01-28,-3.0,-4.3,-0.2,0.0,0.0,33.0,17.8,,1030.0,282.0
1950-01-29,-5.4,-7.6,-2.3,0.0,0.0,42.0,14.3,,1030.4,414.0
1950-01-30,-4.8,-12.0,-1.6,2.1,0.0,99.0,5.9,,1031.0,288.0
1950-01-31,-3.4,-4.4,-0.3,2.5,20.0,53.0,4.5,,1027.2,0.0
1950-02-01,0.6,-6.4,5.0,0.9,10.0,26.0,1.9,,1025.8,186.0
1950-02-02,1.4,-2.0,3.0,0.0,10.0,57.0,5.6,,1028.1,0.0
1950-02-03,1.2,-0.8,2.2,4.0,0.0,57.0,7.0,,1026.4,12.0
1950-02-04,2.6,0.5,3.7,1.3,0.0,18.0,2.0,,1022.7,0.0
1950-02-05,4.8,0.4,8.8,2.5,0.0,130.0,7.1,,1017.2,186.0
1950-02-06,6.4,3.6,10.1,0.1,0.0,184.0,12.4,,1009.3,192.0
1950-02-07,4.0,2.1,6.6,0.0,0.0,270.0,8.7,,1025.3,36.0
1950-02-08,3.3,1.3,4.2,8.3,0.0,175.0,7.5,,1017.4,0.0
1950-02-09,1.6,0.4,4.3,11.6,0.0,213.0,10.4,,1020.7,138.0
1950-02-10,11.1,0.2,12.2,5.1,0.0,253.0,13.2,,1010.9,0.0
1950-02-11,6.8,5.8,12.0,1.6,0.0,241.0,20.7,,1008.1,330.0
1950-02-12,5.4,3.0,7.6,3.3,0.0,232.0,17.4,,1012.3,138.0
1950-02-13,7.4,5.0,9.2,0.9,0.0,208.0,15.2,,1005.9,0.0
1950-02-14,4.0,2.2,6.7,0.4,0.0,244.0,12.0,,1018.0,252.0
1950-02-15,6.1,0.6,8.4,1.6,0.0,218.0,11.9,,1030.6,0.0
1950-02-16,9.2,7.5,10.8,0.0,0.0,231.0,8.8,,1040.1,0.0
1950-02-17,4.8,0.0,11.8,0.0,0.0,30.0,4.7,,1041.2,432.0
1950-02-18,3.2,-0.5,11.4,0.0,0.0,352.0,1.7,,1036.1,276.0
1950-02-19,4.8,-0.9,10.2,0.0,0.0,358.0,2.0,,1030.1,192.0
1950-02-20,7.8,1.4,11.0,6.1,0.0,277.0,11.2,,1014.8,42.0
1950-02-21,5.6,3.4,9.4,1.0,0.0,284.0,18.1,,1019.4,0.0
1950-02-22,2.6,0.4,6.4,0.0,0.0,332.0,4.7,,1034.9,216.0
1950-02-23,2.6,-3.1,6.4,1.0,0.0,32.0,2.3,,1024.4,300.0
1950-02-24,9.0,2.0,10.8,0.5,0.0,251.0,8.8,,1015.1,18.0
1950-02-25,7.3,5.6,9.1,4.4,0.0,162.0,5.1,,1004.2,0.0
1950-02-26,0.9,-0.3,7.2,1.2,0.0,357.0,18.9,,1003.6,0.0
1950-02-27,-0.4,-1.2,2.4,0.0,0.0,357.0,9.1,,1024.2,264.0
1950-02-28,-0.1,-4.4,3.3,0.0,0.0,32.0,5.6,,1027.3,306.0
1950-03-01,-0.5,-4.2,3.6,0.0,0.0,24.0,4.1,,1031.6,390.0
1950-03-02,-1.0,-5.8,3.3,0.0,0.0,41.0,8.0,,1038.0,582.0
1950-03-03,1.4,-3.0,5.8,0.0,0.0,33.0,5.0,,1037.6,510.0
1950-03-04,2.8,-0.9,5.0,0.0,0.0,1.0,3.0,,1038.1,0.0
1950-03-05,3.4,-0.5,5.0,0.0,0.0,11.0,2.0,,1042.8,0.0
1950-03-06,6.9,3.7,11.0,0.0,0.0,323.0,6.1,,1045.3,84.0
1950-03-07,3.8,-1.8,12.5,0.0,0.0,336.0,3.0,,1042.6,246.0
1950-03-08,6.1,-0.4,10.0,0.0,0.0,330.0,3.0,,1034.1,222.0
1950-03-09,8.2,5.0,12.4,0.6,0.0,358.0,3.8,,1027.0,222.0
1950-03-10,6.9,6.4,8.5,0.0,0.0,302.0,13.2,,1023.2,114.0
1950-03-11,4.2,0.5,7.0,0.0,0.0,278.0,15.3,,1024.9,324.0
